yourlist:M202206094ABAA9BC7178C81CEBC9459510EDDEA34FF825K	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC100893728	A0A7M7LT96	A0A7M7LT96_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	529
LOC100893376	A0A7M7GQ94	A0A7M7GQ94_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	322
LOC593886	A0A7M7NAG9	A0A7M7NAG9_STRPU	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1047
LOC593886	A0A7M7NAU9	A0A7M7NAU9_STRPU	unreviewed	Non-specific serine/threonine protein kinase (EC 2.7.11.1)		Strongylocentrotus purpuratus (Purple sea urchin)	1216
LOC582639	A0A7M7RC79	A0A7M7RC79_STRPU	unreviewed	Aminotran_5 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	770
LOC105439738	A0A7M7N3B3	A0A7M7N3B3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1614
LOC764440	A0A7M7NI27	A0A7M7NI27_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	847
LOC587107	A0A7M7RFY4	A0A7M7RFY4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	137
LOC574628	A0A7M7HJJ8	A0A7M7HJJ8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	807
LOC584503	A0A7M7PP10	A0A7M7PP10_STRPU	unreviewed	Spectrin beta chain		Strongylocentrotus purpuratus (Purple sea urchin)	2344
LOC584503	A0A7M7T506	A0A7M7T506_STRPU	unreviewed	Spectrin beta chain		Strongylocentrotus purpuratus (Purple sea urchin)	2351
LOC582547	A0A7M7NW20	A0A7M7NW20_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	410
LOC588509	A0A7M7PH14	A0A7M7PH14_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1511
LOC105446456	A0A7M7P5N9	A0A7M7P5N9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	429
LOC575190	A0A7M7REC7	A0A7M7REC7_STRPU	unreviewed	RING-type E3 ubiquitin transferase (EC 2.3.2.27)		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC105441116	A0A7M7PLK8	A0A7M7PLK8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	489
LOC576072	A0A7M7RCU2	A0A7M7RCU2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	594
LOC587781	A0A7M7P0T4	A0A7M7P0T4_STRPU	unreviewed	Aldo_ket_red domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	319
LOC754687	A0A7M7PRB8	A0A7M7PRB8_STRPU	unreviewed	Methyltransf_11 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	476
LOC754687	A0A7M7PT35	A0A7M7PT35_STRPU	unreviewed	Methyltransf_11 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	481
LOC580113	A0A7M7N4P9	A0A7M7N4P9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	368
LOC580113	A0A7M7REL5	A0A7M7REL5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	226
LOC585057	A0A7M7N7X2	A0A7M7N7X2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1262
LOC589260	A0A7M7P9C0	A0A7M7P9C0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	285
LOC589260	A0A7M7PCE0	A0A7M7PCE0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	355
LOC373321	P16065	GCY_STRPU	reviewed	Speract receptor (EC 4.6.1.2) (Guanylate cyclase)		Strongylocentrotus purpuratus (Purple sea urchin)	1125
LOC577652	A0A7M7RDW7	A0A7M7RDW7_STRPU	unreviewed	Sarcosine oxidase (EC 1.5.3.1)		Strongylocentrotus purpuratus (Purple sea urchin)	414
LOC581645	A0A7M7GMH8	A0A7M7GMH8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	868
LOC575916	A0A7M7RA06	A0A7M7RA06_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1810
LOC100890842	A0A7M7PSX1	A0A7M7PSX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	334
LOC576991	A0A7M7TG74	A0A7M7TG74_STRPU	unreviewed	Homeobox protein		Strongylocentrotus purpuratus (Purple sea urchin)	314
LOC115923959	A0A7M7NSZ9	A0A7M7NSZ9_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	217
LOC581269	A0A7M7MX81	A0A7M7MX81_STRPU	unreviewed	SAM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1807
LOC581269	A0A7M7MXA0	A0A7M7MXA0_STRPU	unreviewed	SAM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1808
LOC581269	A0A7M7MXG1	A0A7M7MXG1_STRPU	unreviewed	SAM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1805
LOC577567	A0A7M7RAF9	A0A7M7RAF9_STRPU	unreviewed	Ribosomal_S10 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	189
LOC105446713	A0A7M7HQA3	A0A7M7HQA3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	385
LOC585810	A0A7M7STR0	A0A7M7STR0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	948
LOC100891038	A0A7M7NMR4	A0A7M7NMR4_STRPU	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)		Strongylocentrotus purpuratus (Purple sea urchin)	108
LOC100892218	A0A7M7HMJ6	A0A7M7HMJ6_STRPU	unreviewed	Chromo domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	503
LOC100891485	A0A7M7PQT9	A0A7M7PQT9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1658
LOC100891485	A0A7M7PS48	A0A7M7PS48_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1688
LOC100891485	A0A7M7PTW2	A0A7M7PTW2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1696
LOC100891485	A0A7M7PUI1	A0A7M7PUI1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1676
LOC575168	A0A7M7HN64	A0A7M7HN64_STRPU	unreviewed	EF1_GNE domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	253
LOC575168	A0A7M7R9P4	A0A7M7R9P4_STRPU	unreviewed	EF1_GNE domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	279
LOC590287	A0A7M7PTL5	A0A7M7PTL5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1428
LOC576674	A0A7M7HL70	A0A7M7HL70_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	420
LOC757285	A0A7M7N8I6	A0A7M7N8I6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3430
LOC757285	A0A7M7N8K6	A0A7M7N8K6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3570
LOC757285	A0A7M7N8P8	A0A7M7N8P8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3534
LOC757285	A0A7M7N8T4	A0A7M7N8T4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3577
LOC757285	A0A7M7N8U2	A0A7M7N8U2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3554
LOC757285	A0A7M7N8W8	A0A7M7N8W8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3536
LOC757285	A0A7M7NAM5	A0A7M7NAM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3575
LOC757285	A0A7M7NBX6	A0A7M7NBX6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3491
LOC757285	A0A7M7SUR5	A0A7M7SUR5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3436
LOC757285	A0A7M7SUV4	A0A7M7SUV4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3325
LOC115918057	A0A7M7NJJ8	A0A7M7NJJ8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	191
LOC578337	A0A7M7RD67	A0A7M7RD67_STRPU	unreviewed	Aldedh domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	530
LOC762945	A0A7M7N9R0	A0A7M7N9R0_STRPU	unreviewed	HAUS6_N domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1187
LOC115920337	A0A7M7N819	A0A7M7N819_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	287
LOC578468	A0A7M7NFM0	A0A7M7NFM0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1084
LOC755896	A0A7M7P7M9	A0A7M7P7M9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	996
LOC105438154	A0A7M7PM43	A0A7M7PM43_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	269
LOC588710	A0A7M7RGU9	A0A7M7RGU9_STRPU	unreviewed	C-type lectin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	168
LOC593009	A0A7M7NJ64	A0A7M7NJ64_STRPU	unreviewed	MACPF domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	587
LOC590807	A0A7M7NHS8	A0A7M7NHS8_STRPU	unreviewed	THO complex subunit 2		Strongylocentrotus purpuratus (Purple sea urchin)	1640
LOC590807	A0A7M7NK49	A0A7M7NK49_STRPU	unreviewed	THO complex subunit 2		Strongylocentrotus purpuratus (Purple sea urchin)	1618
LOC752142	A0A7M7T4G3	A0A7M7T4G3_STRPU	unreviewed	Pep_M12B_propep domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	344
LOC100891645	A0A7M7N9L6	A0A7M7N9L6_STRPU	unreviewed	Sarcosine oxidase (EC 1.5.3.1)		Strongylocentrotus purpuratus (Purple sea urchin)	446
LOC582099	A0A7M7NGW6	A0A7M7NGW6_STRPU	unreviewed	Rho-GAP domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	806
LOC105440302	A0A7M7N7D1	A0A7M7N7D1_STRPU	unreviewed	WSC domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	312
LOC100891773	A0A7M7GHM7	A0A7M7GHM7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	181
LOC576144	A0A7M7RAF2	A0A7M7RAF2_STRPU	unreviewed	Importin N-terminal domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	883
LOC755114	A0A7M7N0U7	A0A7M7N0U7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1310
LOC755114	A0A7M7N1F9	A0A7M7N1F9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1515
LOC755114	A0A7M7N2C2	A0A7M7N2C2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1511
LOC755114	A0A7M7N3P6	A0A7M7N3P6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1510
LOC755114	A0A7M7ST67	A0A7M7ST67_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1501
LOC757282	A0A7M7SWA2	A0A7M7SWA2_STRPU	unreviewed	Palmitoyltransferase (EC 2.3.1.225)		Strongylocentrotus purpuratus (Purple sea urchin)	290
LOC576524	A0A7M7RD89	A0A7M7RD89_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1111
LOC576527	A0A7M7N7H7	A0A7M7N7H7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1885
LOC576527	A0A7M7N858	A0A7M7N858_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1878
LOC576527	A0A7M7NAQ3	A0A7M7NAQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1892
LOC576527	A0A7M7SUJ0	A0A7M7SUJ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1885
LOC576527	A0A7M7SUM8	A0A7M7SUM8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1871
LOC762449	A0A7M7NWK6	A0A7M7NWK6_STRPU	unreviewed	ABC transporter domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	714
LOC115926659	A0A7M7P7I8	A0A7M7P7I8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	357
LOC100893531	A0A7M7PQ50	A0A7M7PQ50_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1018
LOC589719	A0A7M7PV90	A0A7M7PV90_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	814
LOC754420	A0A7M7N2B1	A0A7M7N2B1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2169
LOC754420	A0A7M7N2J6	A0A7M7N2J6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2151
LOC754420	A0A7M7N2N4	A0A7M7N2N4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2027
LOC754420	A0A7M7N2Q6	A0A7M7N2Q6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2135
LOC754420	A0A7M7N2R3	A0A7M7N2R3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1993
LOC754420	A0A7M7N416	A0A7M7N416_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1992
LOC754420	A0A7M7N479	A0A7M7N479_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2158
LOC100888006	A0A7M7HNJ0	A0A7M7HNJ0_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1525
LOC100888006	A0A7M7HQB2	A0A7M7HQB2_STRPU	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)		Strongylocentrotus purpuratus (Purple sea urchin)	1539
LOC100888165	A0A7M7NI73	A0A7M7NI73_STRPU	unreviewed	Cyclic nucleotide-binding domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	644
LOC100888165	A0A7M7NI77	A0A7M7NI77_STRPU	unreviewed	Cyclic nucleotide-binding domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	571
LOC105444439	A0A7M7PGK4	A0A7M7PGK4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	326
LOC576327	A0A7M7PCG7	A0A7M7PCG7_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC576327	A0A7M7PEG5	A0A7M7PEG5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	448
LOC575560	A0A7M7MZW3	A0A7M7MZW3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC575560	A0A7M7MZY3	A0A7M7MZY3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	422
LOC575560	A0A7M7N023	A0A7M7N023_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	417
LOC575560	A0A7M7N080	A0A7M7N080_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	413
LOC575560	A0A7M7N126	A0A7M7N126_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	424
LOC575560	A0A7M7N192	A0A7M7N192_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	412
LOC575560	A0A7M7N2I8	A0A7M7N2I8_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	384
LOC584145	A0A7M7P4W0	A0A7M7P4W0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	721
LOC584145	A0A7M7P632	A0A7M7P632_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	714
LOC581009	A0A7M7N8Z2	A0A7M7N8Z2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1186
LOC582741	A0A7M7RCP3	A0A7M7RCP3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1057
LOC576998	A0A7M7RAB2	A0A7M7RAB2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	515
LOC105440658	A0A7M7HHL0	A0A7M7HHL0_STRPU	unreviewed	G_PROTEIN_RECEP_F2_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	262
LOC577995	A0A7M7RD13	A0A7M7RD13_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	728
LOC582310	A0A7M7N1H4	A0A7M7N1H4_STRPU	unreviewed	Kazal-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1862
LOC100892793	A0A7M7PCX1	A0A7M7PCX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1325
LOC105441596	A0A7M7N5Q9	A0A7M7N5Q9_STRPU	unreviewed	t-SNARE coiled-coil homology domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1868
LOC105441596	A0A7M7N5X6	A0A7M7N5X6_STRPU	unreviewed	t-SNARE coiled-coil homology domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2234
LOC105441596	A0A7M7N617	A0A7M7N617_STRPU	unreviewed	t-SNARE coiled-coil homology domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2259
LOC105441596	A0A7M7N7P1	A0A7M7N7P1_STRPU	unreviewed	t-SNARE coiled-coil homology domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2231
LOC105441596	A0A7M7N8N9	A0A7M7N8N9_STRPU	unreviewed	t-SNARE coiled-coil homology domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2231
LOC105441596	A0A7M7SU62	A0A7M7SU62_STRPU	unreviewed	t-SNARE coiled-coil homology domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2206
LOC100890672	A0A7M7HPX3	A0A7M7HPX3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1155
LOC593924	A0A7M7PIY4	A0A7M7PIY4_STRPU	unreviewed	SSD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1409
LOC105442754	A0A7M7LW50	A0A7M7LW50_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1349
LOC588662	A0A7M7LWQ7	A0A7M7LWQ7_STRPU	unreviewed	RING-type E3 ubiquitin transferase (EC 2.3.2.27)		Strongylocentrotus purpuratus (Purple sea urchin)	309
LOC589697	A0A7M7N7B4	A0A7M7N7B4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1634
LOC589697	A0A7M7N7L3	A0A7M7N7L3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1633
LOC588010	A0A7M7STQ7	A0A7M7STQ7_STRPU	unreviewed	Phosphate transporter		Strongylocentrotus purpuratus (Purple sea urchin)	566
LOC576611	A0A7M7HQC4	A0A7M7HQC4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	856
LOC576611	A0A7M7NR23	A0A7M7NR23_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	810
LOC574776	A0A7M7N7L4	A0A7M7N7L4_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	391
LOC582611	A0A7M7NUI4	A0A7M7NUI4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	258
LOC582611	A0A7M7THC1	A0A7M7THC1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	322
LOC762707	A0A7M7NIR5	A0A7M7NIR5_STRPU	unreviewed	UBC core domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	154
LOC580818	A0A7M7HIP1	A0A7M7HIP1_STRPU	unreviewed	ARID domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2668
LOC580818	A0A7M7HIV3	A0A7M7HIV3_STRPU	unreviewed	ARID domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2653
LOC580818	A0A7M7HM25	A0A7M7HM25_STRPU	unreviewed	ARID domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2723
LOC580818	A0A7M7HPT5	A0A7M7HPT5_STRPU	unreviewed	ARID domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2724
LOC580818	A0A7M7HPU6	A0A7M7HPU6_STRPU	unreviewed	ARID domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2712
LOC753877	A0A7M7NJ89	A0A7M7NJ89_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	254
LOC592068	A0A7M7PSC7	A0A7M7PSC7_STRPU	unreviewed	Metalloendopeptidase (EC 3.4.24.-)		Strongylocentrotus purpuratus (Purple sea urchin)	494
LOC574700	A0A7M7LTD3	A0A7M7LTD3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	668
LOC574700	A0A7M7TG69	A0A7M7TG69_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	665
LOC115919490	A0A7M7N0E3	A0A7M7N0E3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	202
LOC105440702	A0A7M7N3T9	A0A7M7N3T9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	192
LOC105437042	A0A7M7NIE1	A0A7M7NIE1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	131
LOC578403	A0A7M7TGI2	A0A7M7TGI2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	180
LOC100889201	A0A7M7GLE2	A0A7M7GLE2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	504
LOC580374	A0A7M7TGN6	A0A7M7TGN6_STRPU	unreviewed	DUF4201 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	376
LOC575703	A0A7M7HNS8	A0A7M7HNS8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	369
LOC575703	A0A7M7REL0	A0A7M7REL0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	380
LOC574964	A0A7M7HKY5	A0A7M7HKY5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1034
LOC100891326	A0A7M7GQT5	A0A7M7GQT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	215
LOC589478	A0A7M7P279	A0A7M7P279_STRPU	unreviewed	Tetraspanin		Strongylocentrotus purpuratus (Purple sea urchin)	245
LOC100888873	A0A7M7NQY6	A0A7M7NQY6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	419
LOC105439634	A0A7M7P4J1	A0A7M7P4J1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	572
LOC105444964	A0A7M7P444	A0A7M7P444_STRPU	unreviewed	SGNH_hydro domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	245
LOC574748	A0A7M7RCH9	A0A7M7RCH9_STRPU	unreviewed	BTB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	597
LOC586135	A0A7M7NRP9	A0A7M7NRP9_STRPU	unreviewed	Raptor_N domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1307
LOC586135	A0A7M7NST2	A0A7M7NST2_STRPU	unreviewed	Raptor_N domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1272
LOC586135	A0A7M7SYE9	A0A7M7SYE9_STRPU	unreviewed	Raptor_N domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1320
LOC586135	A0A7M7SYG3	A0A7M7SYG3_STRPU	unreviewed	Raptor_N domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1285
LOC577726	A0A7M7HJ62	A0A7M7HJ62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	985
LOC577726	A0A7M7HJD3	A0A7M7HJD3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	983
LOC577726	A0A7M7HM97	A0A7M7HM97_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1043
LOC577726	A0A7M7HMH3	A0A7M7HMH3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	999
LOC577726	A0A7M7HMN9	A0A7M7HMN9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1053
LOC577726	A0A7M7HNS1	A0A7M7HNS1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	975
LOC577726	A0A7M7HQ38	A0A7M7HQ38_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	988
LOC577726	A0A7M7HQ54	A0A7M7HQ54_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1027
