yourlist:M202206095BF3C56A578D7D6DFD1FC81EE5DA773050093F2	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC593500	A0A7M7RHR7	A0A7M7RHR7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	645
LOC100890608	A0A7M7NX82	A0A7M7NX82_STRPU	unreviewed	NtA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC100891343	A0A7M7PA19	A0A7M7PA19_STRPU	unreviewed	DUF1619 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1360
LOC100891343	A0A7M7T240	A0A7M7T240_STRPU	unreviewed	DUF1619 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1368
LOC100891127	A0A7M7GFH6	A0A7M7GFH6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1019
LOC100891127	A0A7M7HEE2	A0A7M7HEE2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1067
LOC581299	A0A7M7N5N9	A0A7M7N5N9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1615
LOC581299	A0A7M7N5P1	A0A7M7N5P1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1672
LOC581299	A0A7M7N5P6	A0A7M7N5P6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1662
LOC581299	A0A7M7N5V5	A0A7M7N5V5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1676
LOC581299	A0A7M7N5Z5	A0A7M7N5Z5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1683
LOC581299	A0A7M7N603	A0A7M7N603_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1429
LOC581299	A0A7M7N6A1	A0A7M7N6A1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1664
LOC581299	A0A7M7N7F2	A0A7M7N7F2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1654
LOC581299	A0A7M7N7M1	A0A7M7N7M1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1675
LOC581299	A0A7M7N8L4	A0A7M7N8L4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1673
LOC581299	A0A7M7SU59	A0A7M7SU59_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1673
LOC581299	A0A7M7SU92	A0A7M7SU92_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1671
LOC753790	A0A7M7LKX2	A0A7M7LKX2_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	320
LOC594743	A0A7M7RFM5	A0A7M7RFM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	269
LOC756169	A0A7M7NP28	A0A7M7NP28_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1260
LOC115924299	A0A7M7SZ82	A0A7M7SZ82_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	289
LOC105436608	A0A7M7PEK4	A0A7M7PEK4_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	101
LOC105438591	A0A7M7HFM1	A0A7M7HFM1_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	916
LOC100890827	A0A7M7HK62	A0A7M7HK62_STRPU	unreviewed	GSAP-16 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1135
LOC100890827	A0A7M7PVF7	A0A7M7PVF7_STRPU	unreviewed	GSAP-16 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1106
LOC105440587	A0A7M7N467	A0A7M7N467_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	139
LOC587947	A0A7M7N2S0	A0A7M7N2S0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	746
LOC587947	A0A7M7N3H7	A0A7M7N3H7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	753
LOC587947	A0A7M7RGN5	A0A7M7RGN5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	771
LOC580563	A0A7M7HMQ2	A0A7M7HMQ2_STRPU	unreviewed	Protein kinase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	398
LOC105439965	A0A7M7HHL1	A0A7M7HHL1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	148
LOC105443261	A0A7M7NS32	A0A7M7NS32_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	518
LOC585725	A0A7M7HMI5	A0A7M7HMI5_STRPU	unreviewed	Superoxide dismutase copper chaperone		Strongylocentrotus purpuratus (Purple sea urchin)	262
LOC100888960	A0A7M7PVB7	A0A7M7PVB7_STRPU	unreviewed	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)		Strongylocentrotus purpuratus (Purple sea urchin)	965
LOC100892981	A0A7M7GFT5	A0A7M7GFT5_STRPU	unreviewed	RING-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	398
LOC576813	A0A7M7PC23	A0A7M7PC23_STRPU	unreviewed	G_PROTEIN_RECEP_F3_4 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	950
LOC105440449	A0A7M7MZ83	A0A7M7MZ83_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	209
LOC100891457	A0A7M7GK02	A0A7M7GK02_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC583030	A0A7M7NSP2	A0A7M7NSP2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	267
LOC588257	A0A7M7MZ54	A0A7M7MZ54_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	602
LOC576677	A0A7M7RF42	A0A7M7RF42_STRPU	unreviewed	BTB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	234
LOC588327	A0A7M7RI21	A0A7M7RI21_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	149
LOC578938	A0A7M7RAN6	A0A7M7RAN6_STRPU	unreviewed	Fucosyltransferase (EC 2.4.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	571
LOC105440495	A0A7M7HI09	A0A7M7HI09_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1433
LOC105440495	A0A7M7HLP4	A0A7M7HLP4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1427
LOC105440495	A0A7M7P186	A0A7M7P186_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1431
LOC581257	A0A7M7HN02	A0A7M7HN02_STRPU	unreviewed	Protein kinase C (EC 2.7.11.13)		Strongylocentrotus purpuratus (Purple sea urchin)	603
LOC581257	A0A7M7HN78	A0A7M7HN78_STRPU	unreviewed	Protein kinase C (EC 2.7.11.13)		Strongylocentrotus purpuratus (Purple sea urchin)	677
LOC581257	A0A7M7HQH5	A0A7M7HQH5_STRPU	unreviewed	Protein kinase C (EC 2.7.11.13)		Strongylocentrotus purpuratus (Purple sea urchin)	635
LOC581257	A0A7M7NZY6	A0A7M7NZY6_STRPU	unreviewed	Protein kinase C (EC 2.7.11.13)		Strongylocentrotus purpuratus (Purple sea urchin)	609
LOC581257	A0A7M7P2Y4	A0A7M7P2Y4_STRPU	unreviewed	Protein kinase C (EC 2.7.11.13)		Strongylocentrotus purpuratus (Purple sea urchin)	588
LOC586383	A0A7M7PQK2	A0A7M7PQK2_STRPU	unreviewed	Transporter		Strongylocentrotus purpuratus (Purple sea urchin)	613
LOC586383	A0A7M7T4V4	A0A7M7T4V4_STRPU	unreviewed	Transporter		Strongylocentrotus purpuratus (Purple sea urchin)	685
LOC581936	A0A7M7MYI0	A0A7M7MYI0_STRPU	unreviewed	tRNA_SAD domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	405
LOC581936	A0A7M7SSR6	A0A7M7SSR6_STRPU	unreviewed	AA_TRNA_LIGASE_II_ALA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	411
LOC576116	A0A7M7TG50	A0A7M7TG50_STRPU	unreviewed	Gln-synt_C domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	423
LOC577862	A0A7M7RC95	A0A7M7RC95_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	622
LOC100893599	A0A7M7GGK8	A0A7M7GGK8_STRPU	unreviewed	Myb_DNA-bind_5 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	460
LOC115918141	A0A7M7PTU6	A0A7M7PTU6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	214
LOC100888193	A0A7M7HJ70	A0A7M7HJ70_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1499
LOC115924729	A0A7M7NZT0	A0A7M7NZT0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	199
LOC592814	A0A7M7P996	A0A7M7P996_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	762
LOC592814	A0A7M7PA04	A0A7M7PA04_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	586
LOC592814	A0A7M7PAH1	A0A7M7PAH1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	842
LOC100889303	A0A7M7GGG2	A0A7M7GGG2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	541
LOC590092	A0A7M7N7C1	A0A7M7N7C1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	685
LOC115923808	A0A7M7NY64	A0A7M7NY64_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC575719	A0A7M7GHY8	A0A7M7GHY8_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	380
LOC115926578	A0A7M7P881	A0A7M7P881_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	245
LOC105439144	A0A7M7HGG5	A0A7M7HGG5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	365
LOC105444635	A0A7M7HNY5	A0A7M7HNY5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	875
LOC105444635	A0A7M7SUT5	A0A7M7SUT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	853
LOC100888443	A0A7M7PJ97	A0A7M7PJ97_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	699
LOC115926175	A0A7M7P474	A0A7M7P474_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	379
LOC115926175	A0A7M7P879	A0A7M7P879_STRPU	unreviewed	SET domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	372
LOC115926873	A0A7M7PAP8	A0A7M7PAP8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	129
LOC115918108	A0A7M7PJ66	A0A7M7PJ66_STRPU	unreviewed	Tubulin alpha chain		Strongylocentrotus purpuratus (Purple sea urchin)	452
LOC581752	A0A7M7P8P7	A0A7M7P8P7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC577167	A0A7M7RDM8	A0A7M7RDM8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	165
LOC115929787	A0A7M7T5N4	A0A7M7T5N4_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC591818	A0A7M7PHP6	A0A7M7PHP6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	422
LOC752395	A0A7M7SU73	A0A7M7SU73_STRPU	unreviewed	Amine oxidase (EC 1.4.3.-)		Strongylocentrotus purpuratus (Purple sea urchin)	522
LOC575707	A0A7M7NFX1	A0A7M7NFX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	575
LOC589590	A0A7M7NX79	A0A7M7NX79_STRPU	unreviewed	MACPF domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	571
LOC100889473	A0A7M7PTB9	A0A7M7PTB9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1341
LOC105441299	A0A7M7NJC6	A0A7M7NJC6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	778
LOC581118	A0A7M7MYX6	A0A7M7MYX6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4208
LOC581118	A0A7M7N053	A0A7M7N053_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4196
LOC105443730	A0A7M7LTH3	A0A7M7LTH3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	188
LOC587716	A0A7M7PMD1	A0A7M7PMD1_STRPU	unreviewed	Tubulin alpha chain		Strongylocentrotus purpuratus (Purple sea urchin)	451
LOC579852	A0A7M7P2U5	A0A7M7P2U5_STRPU	unreviewed	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (EC 2.1.1.296)		Strongylocentrotus purpuratus (Purple sea urchin)	1061
LOC574565	A0A7M7PPF0	A0A7M7PPF0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	376
LOC584558	A0A7M7LL38	A0A7M7LL38_STRPU	unreviewed	Phospholipase A2 (EC 3.1.1.4)		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC764239	A0A7M7G1N1	A0A7M7G1N1_STRPU	unreviewed	Sulfiredoxin (EC 1.8.98.2)		Strongylocentrotus purpuratus (Purple sea urchin)	181
LOC576498	A0A7M7R9R2	A0A7M7R9R2_STRPU	unreviewed	MYND-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	479
LOC100891370	A0A7M7GHB7	A0A7M7GHB7_STRPU	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-)		Strongylocentrotus purpuratus (Purple sea urchin)	372
LOC100891370	A0A7M7N4L4	A0A7M7N4L4_STRPU	unreviewed	Carbohydrate sulfotransferase (EC 2.8.2.-)		Strongylocentrotus purpuratus (Purple sea urchin)	385
LOC100892460	A0A7M7GGQ0	A0A7M7GGQ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	189
LOC752990	A0A7M7SU21	A0A7M7SU21_STRPU	unreviewed	VWFA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	715
LOC100894050	A0A7M7PTW7	A0A7M7PTW7_STRPU	unreviewed	Homeobox domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	283
LOC578618	A0A7M7RE35	A0A7M7RE35_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	573
LOC574874	A0A7M7R960	A0A7M7R960_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	545
LOC105438445	A0A7M7PN45	A0A7M7PN45_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1140
LOC115919379	A0A7M7N1U1	A0A7M7N1U1_STRPU	unreviewed	Integrase catalytic domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	308
LOC105444929	A0A7M7NBD2	A0A7M7NBD2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	361
LOC115925366	A0A7M7P1H9	A0A7M7P1H9_STRPU	unreviewed	Ubiquitin-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	147
LOC115925366	A0A7M7P1U8	A0A7M7P1U8_STRPU	unreviewed	BAG family molecular chaperone regulator 1		Strongylocentrotus purpuratus (Purple sea urchin)	200
LOC115925366	A0A7M7P477	A0A7M7P477_STRPU	unreviewed	BAG family molecular chaperone regulator 1		Strongylocentrotus purpuratus (Purple sea urchin)	162
LOC105440961	A0A7M7N9W8	A0A7M7N9W8_STRPU	unreviewed	Putative nuclease HARBI1 (Harbinger transposase-derived nuclease)		Strongylocentrotus purpuratus (Purple sea urchin)	345
LOC100888506	A0A7M7GHU2	A0A7M7GHU2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	350
LOC115920530	A0A7M7N7D2	A0A7M7N7D2_STRPU	unreviewed	ADAM_spacer1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	840
LOC100891720	A0A7M7P8N7	A0A7M7P8N7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	917
LOC100891720	A0A7M7PA60	A0A7M7PA60_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	498
LOC100891720	A0A7M7T1V0	A0A7M7T1V0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	937
LOC100891720	A0A7M7T1W6	A0A7M7T1W6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	535
LOC105439381	A0A7M7PRE4	A0A7M7PRE4_STRPU	unreviewed	TIR domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	225
LOC581559	A0A7M7SY94	A0A7M7SY94_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	485
LOC753192	A0A7M7NAT7	A0A7M7NAT7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	534
LOC100888956	A0A7M7GJ13	A0A7M7GJ13_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	356
LOC752657	A0A7M7P9U1	A0A7M7P9U1_STRPU	unreviewed	Putative nuclease HARBI1 (Harbinger transposase-derived nuclease)		Strongylocentrotus purpuratus (Purple sea urchin)	344
LOC582578	A0A7M7GJV4	A0A7M7GJV4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	555
LOC105443845	A0A7M7NWD3	A0A7M7NWD3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	134
LOC753887	A0A7M7G0M3	A0A7M7G0M3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	124
LOC105440317	A0A7M7NR36	A0A7M7NR36_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	233
LOC105440317	A0A7M7NTX1	A0A7M7NTX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	200
LOC582689	A0A7M7T1V6	A0A7M7T1V6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	233
LOC105439986	A0A7M7HKH4	A0A7M7HKH4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	750
LOC590639	A0A7M7P1K4	A0A7M7P1K4_STRPU	unreviewed	ANF_receptor domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	262
LOC100890824	A0A7M7HKL5	A0A7M7HKL5_STRPU	unreviewed	RNA binding protein fox-1 homolog		Strongylocentrotus purpuratus (Purple sea urchin)	391
LOC100890824	A0A7M7HKV2	A0A7M7HKV2_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	474
LOC100890824	A0A7M7NR44	A0A7M7NR44_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	468
LOC100890824	A0A7M7NR66	A0A7M7NR66_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	463
LOC100890824	A0A7M7NRB6	A0A7M7NRB6_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	466
LOC100890824	A0A7M7NRH3	A0A7M7NRH3_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	473
LOC100890824	A0A7M7NRK3	A0A7M7NRK3_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	437
LOC100890824	A0A7M7NRP1	A0A7M7NRP1_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	468
LOC100890824	A0A7M7NTD9	A0A7M7NTD9_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	469
LOC100890824	A0A7M7NTS0	A0A7M7NTS0_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	443
LOC100890824	A0A7M7NWM8	A0A7M7NWM8_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	442
LOC100890824	A0A7M7SYF2	A0A7M7SYF2_STRPU	unreviewed	RRM domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	460
LOC100889495	A0A7M7HEJ9	A0A7M7HEJ9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	132
LOC752471	A0A7M7GH88	A0A7M7GH88_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC752471	A0A7M7GM56	A0A7M7GM56_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	327
LOC588635	A0A7M7N0K0	A0A7M7N0K0_STRPU	unreviewed	Carboxylic ester hydrolase (EC 3.1.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	598
LOC100892972	A0A7M7GJ43	A0A7M7GJ43_STRPU	unreviewed	Netrin receptor UNC5		Strongylocentrotus purpuratus (Purple sea urchin)	858
LOC100892972	A0A7M7HJZ3	A0A7M7HJZ3_STRPU	unreviewed	Netrin receptor UNC5		Strongylocentrotus purpuratus (Purple sea urchin)	861
LOC100890407	A0A7M7GIR1	A0A7M7GIR1_STRPU	unreviewed	IRF-3 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	449
LOC115927592	A0A7M7PDB1	A0A7M7PDB1_STRPU	unreviewed	GT23 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	275
LOC100890406	A0A7M7N0U3	A0A7M7N0U3_STRPU	unreviewed	Ion_trans domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	832
LOC100888271	A0A7M7GHV6	A0A7M7GHV6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	614
LOC585536	A0A7M7P9Z7	A0A7M7P9Z7_STRPU	unreviewed	MFS domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	575
LOC762803	A0A7M7LIP0	A0A7M7LIP0_STRPU	unreviewed	RING-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	237
LOC105445639	A0A7M7N7M8	A0A7M7N7M8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	257
LOC105445639	A0A7M7N9I9	A0A7M7N9I9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	257
LOC105445639	A0A7M7NAK2	A0A7M7NAK2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	134
LOC588061	A0A7M7TH64	A0A7M7TH64_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	409
LOC100892809	A0A7M7HG83	A0A7M7HG83_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	228
LOC579596	A0A7M7NKN6	A0A7M7NKN6_STRPU	unreviewed	Alpha-carbonic anhydrase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	274
LOC576308	A0A7M7NPR3	A0A7M7NPR3_STRPU	unreviewed	Oligopeptidase A (EC 3.4.24.70)		Strongylocentrotus purpuratus (Purple sea urchin)	773
LOC576308	A0A7M7NS98	A0A7M7NS98_STRPU	unreviewed	Oligopeptidase A (EC 3.4.24.70)		Strongylocentrotus purpuratus (Purple sea urchin)	739
LOC593885	A0A7M7NIF6	A0A7M7NIF6_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	330
LOC105446162	A0A7M7SXE6	A0A7M7SXE6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC762764	A0A7M7HC62	A0A7M7HC62_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	227
LOC594417	A0A7M7NN59	A0A7M7NN59_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	626
LOC105440824	A0A7M7HHP3	A0A7M7HHP3_STRPU	unreviewed	Sphingomyelin phosphodiesterase (EC 3.1.4.12)		Strongylocentrotus purpuratus (Purple sea urchin)	480
LOC100890077	A0A7M7GJN3	A0A7M7GJN3_STRPU	unreviewed	BHLH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	335
LOC115928187	A0A7M7PIZ2	A0A7M7PIZ2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	331
LOC100893952	A0A7M7GHF4	A0A7M7GHF4_STRPU	unreviewed	Decapping nuclease (EC 3.6.1.-)		Strongylocentrotus purpuratus (Purple sea urchin)	362
LOC115928064	A0A7M7PHZ2	A0A7M7PHZ2_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	142
LOC105445065	A0A7M7HL65	A0A7M7HL65_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	467
LOC115922131	A0A7M7NKA5	A0A7M7NKA5_STRPU	unreviewed	Reverse transcriptase domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	317
LOC105445629	A0A7M7T0C1	A0A7M7T0C1_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	341
LOC105437907	A0A7M7N408	A0A7M7N408_STRPU	unreviewed	Methyltransf_FA domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	288
