yourlist:M20220607F248CABF64506F29A91F8037F07B67D14FB3345	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
LOC585046	A0A7M7N5J5	A0A7M7N5J5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1855
LOC588997	A0A7M7MY42	A0A7M7MY42_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1527
LOC588997	A0A7M7SSM0	A0A7M7SSM0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1572
LOC764045	A0A7M7G4P7	A0A7M7G4P7_STRPU	unreviewed	Reelin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	206
LOC764045	A0A7M7NGU5	A0A7M7NGU5_STRPU	unreviewed	Reelin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	211
LOC764045	A0A7M7NJ72	A0A7M7NJ72_STRPU	unreviewed	Reelin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	206
LOC105439110	A0A7M7PC51	A0A7M7PC51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	447
LOC576320	A0A7M7RF05	A0A7M7RF05_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	372
LOC105443116	A0A7M7P0I3	A0A7M7P0I3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1650
LOC105443116	A0A7M7P1M6	A0A7M7P1M6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1216
LOC115929676	A0A7M7PQH2	A0A7M7PQH2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	209
LOC105439737	A0A7M7N298	A0A7M7N298_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	407
LOC584174	A0A7M7P6H2	A0A7M7P6H2_STRPU	unreviewed	Integrin_alpha2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1013
LOC115923808	A0A7M7NY64	A0A7M7NY64_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	427
LOC100893626	A0A7M7GKX2	A0A7M7GKX2_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	819
LOC100893626	A0A7M7HQJ8	A0A7M7HQJ8_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	818
LOC100893626	A0A7M7N0A4	A0A7M7N0A4_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	808
LOC100893626	A0A7M7SSJ5	A0A7M7SSJ5_STRPU	unreviewed	EGF-like domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	793
LOC580672	A0A7M7PKP5	A0A7M7PKP5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	5348
LOC581266	A0A7M7NAW7	A0A7M7NAW7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	557
LOC763179	A0A7M7G1A0	A0A7M7G1A0_STRPU	unreviewed	SOCS box domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	463
LOC576527	A0A7M7N7H7	A0A7M7N7H7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1885
LOC576527	A0A7M7N858	A0A7M7N858_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1878
LOC576527	A0A7M7NAQ3	A0A7M7NAQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1892
LOC576527	A0A7M7SUJ0	A0A7M7SUJ0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1885
LOC576527	A0A7M7SUM8	A0A7M7SUM8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1871
LOC574629	A0A7M7PA31	A0A7M7PA31_STRPU	unreviewed	CHAT domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2530
LOC592995	A0A7M7TH78	A0A7M7TH78_STRPU	unreviewed	Calponin		Strongylocentrotus purpuratus (Purple sea urchin)	199
LOC585281	A0A7M7GIM1	A0A7M7GIM1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	375
LOC585281	A0A7M7N3M4	A0A7M7N3M4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	335
LOC100889330	A0A7M7NNA4	A0A7M7NNA4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	305
LOC577995	A0A7M7RD13	A0A7M7RD13_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	728
LOC754884	A0A7M7PRB6	A0A7M7PRB6_STRPU	unreviewed	KASH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2591
LOC754884	A0A7M7PT04	A0A7M7PT04_STRPU	unreviewed	KASH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2597
LOC754884	A0A7M7PTN4	A0A7M7PTN4_STRPU	unreviewed	KASH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2590
LOC754884	A0A7M7PVA1	A0A7M7PVA1_STRPU	unreviewed	KASH domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	2580
LOC590989	A0A7M7N7X0	A0A7M7N7X0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2129
LOC590989	A0A7M7N850	A0A7M7N850_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1760
LOC590989	A0A7M7N855	A0A7M7N855_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2137
LOC590989	A0A7M7N876	A0A7M7N876_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2121
LOC590989	A0A7M7N8J7	A0A7M7N8J7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2166
LOC590989	A0A7M7NA72	A0A7M7NA72_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1740
LOC105436405	A0A7M7PS98	A0A7M7PS98_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1991
LOC105436405	A0A7M7PSH1	A0A7M7PSH1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1843
LOC105436405	A0A7M7PTI9	A0A7M7PTI9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2134
LOC105436405	A0A7M7PU44	A0A7M7PU44_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1931
LOC105436405	A0A7M7PUQ6	A0A7M7PUQ6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1703
LOC105436405	A0A7M7PVB8	A0A7M7PVB8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2134
LOC105436405	A0A7M7PVX5	A0A7M7PVX5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1991
LOC105436405	A0A7M7T5T7	A0A7M7T5T7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	2191
LOC105436405	A0A7M7TGS4	A0A7M7TGS4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1728
LOC105439448	A0A7M7NMC8	A0A7M7NMC8_STRPU	unreviewed	Mucin2_WxxW domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	360
LOC105439448	A0A7M7NMU6	A0A7M7NMU6_STRPU	unreviewed	Mucin2_WxxW domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	306
LOC105439448	A0A7M7SXJ3	A0A7M7SXJ3_STRPU	unreviewed	Mucin2_WxxW domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	351
LOC105437983	A0A7M7PM67	A0A7M7PM67_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	477
LOC105437983	A0A7M7PND0	A0A7M7PND0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	476
LOC105437983	A0A7M7PQ51	A0A7M7PQ51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	418
LOC105437983	A0A7M7T4A4	A0A7M7T4A4_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	341
LOC105437666	A0A7M7NTE1	A0A7M7NTE1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	750
LOC762754	A0A7M7NG72	A0A7M7NG72_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	333
LOC762754	A0A7M7NHQ0	A0A7M7NHQ0_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	324
LOC762754	A0A7M7SVT9	A0A7M7SVT9_STRPU	unreviewed	Sulfotransfer_1 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	318
LOC105443074	A0A7M7P7Y5	A0A7M7P7Y5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	788
LOC100891186	A0A7M7HI60	A0A7M7HI60_STRPU	unreviewed	Phospholipase A2 (EC 3.1.1.4)		Strongylocentrotus purpuratus (Purple sea urchin)	163
LOC115922121	A0A7M7NFX2	A0A7M7NFX2_STRPU	unreviewed	Reelin domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	142
LOC105438714	A0A7M7P5L2	A0A7M7P5L2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	736
LOC105437528	A0A7M7PUP7	A0A7M7PUP7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1362
LOC585633	A0A7M7N6S4	A0A7M7N6S4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	591
LOC100888702	A0A7M7SWH3	A0A7M7SWH3_STRPU	unreviewed	CUB domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1193
LOC105440586	A0A7M7NM71	A0A7M7NM71_STRPU	unreviewed	C1q domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	309
LOC100890084	A0A7M7PL83	A0A7M7PL83_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1075
LOC100890084	A0A7M7PN64	A0A7M7PN64_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1077
LOC756278	A0A7M7SYF4	A0A7M7SYF4_STRPU	unreviewed	Peptidase_S8 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	371
LOC582892	A0A7M7RFK1	A0A7M7RFK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3565
LOC586665	A0A7M7HGS7	A0A7M7HGS7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1666
LOC586665	A0A7M7PNZ5	A0A7M7PNZ5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1449
LOC586665	A0A7M7T502	A0A7M7T502_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1645
LOC100891047	A0A7M7PEM5	A0A7M7PEM5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	311
LOC586153	A0A7M7PSU9	A0A7M7PSU9_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1242
LOC586153	A0A7M7PVT3	A0A7M7PVT3_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1288
LOC586153	A0A7M7PWD5	A0A7M7PWD5_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1266
LOC586153	A0A7M7T5X4	A0A7M7T5X4_STRPU	unreviewed	Fibronectin type-III domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1289
LOC752863	A0A7M7PSZ4	A0A7M7PSZ4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	806
LOC115924833	A0A7M7P413	A0A7M7P413_STRPU	unreviewed	TTF-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	822
LOC579853	A0A7M7P0N4	A0A7M7P0N4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0P9	A0A7M7P0P9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0Q9	A0A7M7P0Q9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0R9	A0A7M7P0R9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0T0	A0A7M7P0T0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P0U9	A0A7M7P0U9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0W2	A0A7M7P0W2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0W5	A0A7M7P0W5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0X7	A0A7M7P0X7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P0Y3	A0A7M7P0Y3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P0Y9	A0A7M7P0Y9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P107	A0A7M7P107_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6597
LOC579853	A0A7M7P116	A0A7M7P116_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P134	A0A7M7P134_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P145	A0A7M7P145_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P194	A0A7M7P194_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P1B2	A0A7M7P1B2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P1C9	A0A7M7P1C9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P1E8	A0A7M7P1E8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P1T6	A0A7M7P1T6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P1U6	A0A7M7P1U6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P1W1	A0A7M7P1W1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P1X0	A0A7M7P1X0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P1Y4	A0A7M7P1Y4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P2P3	A0A7M7P2P3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6693
LOC579853	A0A7M7P2Q4	A0A7M7P2Q4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P2R8	A0A7M7P2R8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P2S8	A0A7M7P2S8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P2U0	A0A7M7P2U0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P386	A0A7M7P386_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P395	A0A7M7P395_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P3A8	A0A7M7P3A8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P3C0	A0A7M7P3C0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P3D5	A0A7M7P3D5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P3E5	A0A7M7P3E5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P3G2	A0A7M7P3G2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7P6H8	A0A7M7P6H8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P6J0	A0A7M7P6J0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P6K0	A0A7M7P6K0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7P6L2	A0A7M7P6L2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7T0B9	A0A7M7T0B9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7T0C0	A0A7M7T0C0_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7T0C2	A0A7M7T0C2_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7T0C4	A0A7M7T0C4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC579853	A0A7M7T0D4	A0A7M7T0D4_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6704
LOC579853	A0A7M7T0D7	A0A7M7T0D7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7T0D9	A0A7M7T0D9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7T0E1	A0A7M7T0E1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6666
LOC579853	A0A7M7T0E3	A0A7M7T0E3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	6628
LOC100890804	A0A7M7GJI4	A0A7M7GJI4_STRPU	unreviewed	SMC hinge domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1992
LOC115928057	A0A7M7PI10	A0A7M7PI10_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	359
LOC105446464	A0A7M7N9W7	A0A7M7N9W7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	572
LOC105446464	A0A7M7NDG6	A0A7M7NDG6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	573
LOC752858	A0A7M7P939	A0A7M7P939_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	252
LOC105438562	A0A7M7PEK1	A0A7M7PEK1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	556
LOC105438562	A0A7M7PFX1	A0A7M7PFX1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	832
LOC100887910	A0A7M7PSK4	A0A7M7PSK4_STRPU	unreviewed	Death domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1163
LOC100887910	A0A7M7T598	A0A7M7T598_STRPU	unreviewed	Death domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1210
LOC763369	A0A7M7G0E8	A0A7M7G0E8_STRPU	unreviewed	SSXT domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	578
LOC763369	A0A7M7N6A7	A0A7M7N6A7_STRPU	unreviewed	SSXT domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	598
LOC100891143	A0A7M7P5M0	A0A7M7P5M0_STRPU	unreviewed	ZU5 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	991
LOC762529	A0A7M7T3J6	A0A7M7T3J6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	143
LOC575816	A0A7M7P2T6	A0A7M7P2T6_STRPU	unreviewed	Peptidylprolyl isomerase (EC 5.2.1.8)		Strongylocentrotus purpuratus (Purple sea urchin)	518
LOC584432	A0A7M7N222	A0A7M7N222_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	549
LOC105438337	A0A7M7NW80	A0A7M7NW80_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	490
LOC105442099	A0A7M7NUJ3	A0A7M7NUJ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	305
LOC100889010	A0A7M7GGV5	A0A7M7GGV5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	602
LOC100889010	A0A7M7LTH5	A0A7M7LTH5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	613
LOC580187	A0A7M7MYV1	A0A7M7MYV1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1279
LOC105443873	A0A7M7N3G8	A0A7M7N3G8_STRPU	unreviewed	B box-type domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	590
LOC582035	A0A7M7TGT5	A0A7M7TGT5_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	502
LOC105439988	A0A7M7P7C1	A0A7M7P7C1_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	410
LOC100888731	A0A7M7GRC6	A0A7M7GRC6_STRPU	unreviewed	Sphingomyelin phosphodiesterase (EC 3.1.4.12)		Strongylocentrotus purpuratus (Purple sea urchin)	447
LOC577184	A0A7M7HFM8	A0A7M7HFM8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	4027
LOC577184	A0A7M7HIJ6	A0A7M7HIJ6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3773
LOC577184	A0A7M7HIQ3	A0A7M7HIQ3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3856
LOC577184	A0A7M7HJX6	A0A7M7HJX6_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3987
LOC577184	A0A7M7HLR7	A0A7M7HLR7_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3856
LOC577184	A0A7M7HNT3	A0A7M7HNT3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3939
LOC577184	A0A7M7LT75	A0A7M7LT75_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3861
LOC577184	A0A7M7LW20	A0A7M7LW20_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3944
LOC577184	A0A7M7N2S8	A0A7M7N2S8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3944
LOC577184	A0A7M7N426	A0A7M7N426_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3942
LOC577184	A0A7M7N570	A0A7M7N570_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	3773
LOC105439738	A0A7M7N3B3	A0A7M7N3B3_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1614
LOC105443455	A0A7M7PDD8	A0A7M7PDD8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1235
LOC100892041	A0A7M7PHS7	A0A7M7PHS7_STRPU	unreviewed	Ion_trans domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	1318
LOC592144	A0A7M7MY51	A0A7M7MY51_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1194
LOC592144	A0A7M7RF31	A0A7M7RF31_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	1260
LOC105445273	A0A7M7NGV9	A0A7M7NGV9_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	109
LOC584508	A0A7M7RGC8	A0A7M7RGC8_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	539
LOC577862	A0A7M7RC95	A0A7M7RC95_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	622
LOC105443326	A0A7M7HK24	A0A7M7HK24_STRPU	unreviewed	Uncharacterized protein		Strongylocentrotus purpuratus (Purple sea urchin)	315
LOC100888305	A0A7M7NWV7	A0A7M7NWV7_STRPU	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein		Strongylocentrotus purpuratus (Purple sea urchin)	404
