ECB-GENEPAGE-23010827	ECB-GENE-23010828	LOC583541	GO:0046983
ECB-GENEPAGE-23151921	ECB-GENE-23151922	rej9	GO:0016021
ECB-GENEPAGE-23151942	ECB-GENE-23151943	six1	GO:0000976,GO:0000981,GO:0005634,GO:0005737,GO:0006915,GO:0007275,GO:0045892
ECB-GENEPAGE-23152277	ECB-GENE-23152278	tpcn3	GO:0005216,GO:0016021
ECB-GENEPAGE-23152364	ECB-GENE-23152365	EMAP	GO:0000226,GO:0005737,GO:0005874,GO:0008017
ECB-GENEPAGE-23152399	ECB-GENE-23152400	p160	GO:0016021
ECB-GENEPAGE-23152441	ECB-GENE-23152442	tbp	GO:0003677,GO:0005634,GO:0006352,GO:0016251,GO:0140223
ECB-GENEPAGE-23152613	ECB-GENE-23152614	LOC586375	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23152829	ECB-GENE-23152830	foxa1	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0008134,GO:0009653,GO:0019904,GO:0030154
ECB-GENEPAGE-23153168	ECB-GENE-23153169	Not	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0007417,GO:0030182
ECB-GENEPAGE-23153657	ECB-GENE-23153658	adcy10	GO:0004016,GO:0005737,GO:0009190,GO:0035556
ECB-GENEPAGE-23153719	ECB-GENE-23153720	foxg1	GO:0003700,GO:0005634,GO:0043565
ECB-GENEPAGE-23153840	ECB-GENE-23153841	dll1	GO:0005509,GO:0007219,GO:0007275,GO:0016021
ECB-GENEPAGE-23154268	ECB-GENE-23154269	univin	GO:0005125,GO:0005615,GO:0008083,GO:0010862,GO:0030509,GO:0060395
ECB-GENEPAGE-23154782	ECB-GENE-23154783	LOC373373	GO:0005737,GO:0005871,GO:0005874
ECB-GENEPAGE-23156313	ECB-GENE-23156314	smad2	GO:0003677,GO:0005634,GO:0005667,GO:0005737,GO:0006355,GO:0007179,GO:0046872
ECB-GENEPAGE-23156888	ECB-GENE-23156889	nfe2l	GO:0000978,GO:0000981,GO:0005634,GO:0006357
ECB-GENEPAGE-23157018	ECB-GENE-23157019	nrf1	GO:0000978,GO:0000981,GO:0005634,GO:0006357
ECB-GENEPAGE-23157050	ECB-GENE-23157051	hh	GO:0005615,GO:0005886,GO:0007267,GO:0007275,GO:0008233,GO:0016539,GO:0016540,GO:0046872
ECB-GENEPAGE-23157653	ECB-GENE-23157654	eif4e3	GO:0000340,GO:0003743,GO:0016281
ECB-GENEPAGE-23158012	ECB-GENE-23158013	LOC373234	GO:0003774,GO:0005524,GO:0016459,GO:0051015
ECB-GENEPAGE-23158036	ECB-GENE-23158037	gnaq	GO:0001664,GO:0003925,GO:0007186,GO:0019001,GO:0031683
ECB-GENEPAGE-23159235	ECB-GENE-23159236	gata3	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0008270,GO:0030097,GO:0045165
ECB-GENEPAGE-23159816	ECB-GENE-23159817	nr2c2	GO:0000978,GO:0003677,GO:0003700,GO:0004879,GO:0005634,GO:0005652,GO:0005737,GO:0006357,GO:0008270,GO:0030154,GO:0043565,GO:0045177,GO:0048471,GO:0048856
ECB-GENEPAGE-23161204	ECB-GENE-23161205	sia7	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23161580	ECB-GENE-23161581	kif23	GO:0005524,GO:0005874,GO:0007018,GO:0008017,GO:1990939
ECB-GENEPAGE-23161625	ECB-GENE-23161626	gnai1	GO:0003925,GO:0005525,GO:0007188,GO:0031683
ECB-GENEPAGE-23161804	ECB-GENE-23161805	ABCC9a	GO:0005524,GO:0016021,GO:0042626
ECB-GENEPAGE-23163541	ECB-GENE-23163542	cdk6	GO:0004674,GO:0005524
ECB-GENEPAGE-23163643	ECB-GENE-23163644	h2b.1	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23165712	ECB-GENE-23165713	col2a1	GO:0005201,GO:0005581
ECB-GENEPAGE-23165729	ECB-GENE-23165730	col1a2	GO:0005201,GO:0005581,GO:0046872
ECB-GENEPAGE-23165821	ECB-GENE-23165822	hoxal	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009952
ECB-GENEPAGE-23165852	ECB-GENE-23165853	Hbox7	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23165890	ECB-GENE-23165891	evxl	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23166210	ECB-GENE-23166211	cebpa	GO:0001228,GO:0016602,GO:0043565,GO:0046982
ECB-GENEPAGE-23166646	ECB-GENE-23166647	pkd1l2c	GO:0005262,GO:0005509,GO:0016020,GO:0016021,GO:0030246,GO:0050982
ECB-GENEPAGE-23166915	ECB-GENE-23166916	ckm	GO:0004111,GO:0005524,GO:0005737,GO:0005856,GO:0016301,GO:0030030,GO:0031514,GO:0046314
ECB-GENEPAGE-23167996	ECB-GENE-23167997	PMCA	GO:0005388,GO:0005524,GO:0005887,GO:0006874,GO:0019829,GO:0030165,GO:0043231,GO:0051480
ECB-GENEPAGE-23168896	ECB-GENE-23168897	LOC373288	GO:0005952,GO:0008603,GO:0010738,GO:0030552,GO:0043949
ECB-GENEPAGE-23169533	ECB-GENE-23169534	elk1	GO:0000981,GO:0005634,GO:0006357,GO:0030154,GO:0043565
ECB-GENEPAGE-23169860	ECB-GENE-23169861	dlxl	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23170872	ECB-GENE-23170873	dstyk	GO:0004712,GO:0004714,GO:0005524,GO:0005737,GO:0016323,GO:0016324,GO:0030054,GO:0048568,GO:0106310,GO:0106311
ECB-GENEPAGE-23171729	ECB-GENE-23171730	gata6	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0008270,GO:0045165
ECB-GENEPAGE-23172696	ECB-GENE-23172697	PDE1	GO:0004114,GO:0007165,GO:0046872
ECB-GENEPAGE-23173130	ECB-GENE-23173131	dvr1	GO:0005125,GO:0005615,GO:0008083,GO:0010862,GO:0030509,GO:0060395
ECB-GENEPAGE-23173797	ECB-GENE-23173798	LOC373341	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23173802	ECB-GENE-23173803	LOC373340	GO:0000786,GO:0003677,GO:0005634,GO:0046982
ECB-GENEPAGE-23174166	ECB-GENE-23174167	e2f3	GO:0000978,GO:0005634,GO:0005667,GO:0006357,GO:0046983
ECB-GENEPAGE-23175411	ECB-GENE-23175412	efhc1	GO:0000281,GO:0005509,GO:0005930,GO:0007052,GO:0031514,GO:0043014,GO:0060285,GO:0072686
ECB-GENEPAGE-23175502	ECB-GENE-23175503	pabp	GO:0003723,GO:0005737
ECB-GENEPAGE-23175512	ECB-GENE-23175513	dnali1	GO:0005930,GO:0030175,GO:0030286,GO:0045504
ECB-GENEPAGE-23175549	ECB-GENE-23175550	ago4	GO:0003676
ECB-GENEPAGE-23175574	ECB-GENE-23175575	ago1b	GO:0003676
ECB-GENEPAGE-23176187	ECB-GENE-23176188	LOC100890911	GO:0008643,GO:0016021,GO:0051119
ECB-GENEPAGE-23176287	ECB-GENE-23176288	NBC	GO:0005452,GO:0005886,GO:0008510,GO:0015701,GO:0016021,GO:0022857,GO:0050801,GO:0051453,GO:0055085
ECB-GENEPAGE-23176356	ECB-GENE-23176357	arc1	GO:0016021,GO:0016740,GO:0050135,GO:0061809
ECB-GENEPAGE-23176847	ECB-GENE-23176848	coel1	GO:0003785,GO:0005856,GO:0005938,GO:0042989
ECB-GENEPAGE-23176968	ECB-GENE-23176969	klf6	GO:0000978,GO:0000981,GO:0006357
ECB-GENEPAGE-23177505	ECB-GENE-23177506	MTB1	GO:0046872
ECB-GENEPAGE-23178683	ECB-GENE-23178684	LOC100891879	GO:0005000,GO:0005886,GO:0016021
ECB-GENEPAGE-23178979	ECB-GENE-23178980	adv	GO:0007010,GO:0051015
ECB-GENEPAGE-23179432	ECB-GENE-23179433	nsf	GO:0005524,GO:0005737,GO:0015031,GO:0016787,GO:0016887,GO:0035494,GO:0046872
ECB-GENEPAGE-23180801	ECB-GENE-23180802	cdc6	GO:0005634,GO:0006270,GO:0051301
ECB-GENEPAGE-23181751	ECB-GENE-23181752	Rag1L	GO:0004519,GO:0005634,GO:0008270,GO:0010390,GO:0030183,GO:0033077,GO:0033151,GO:0042393,GO:0042803,GO:0043565,GO:0061630
ECB-GENEPAGE-23181764	ECB-GENE-23181765	Rag2L	GO:0046872
ECB-GENEPAGE-23181852	ECB-GENE-23181853	cbfb	GO:0003713,GO:0006357,GO:0016513
ECB-GENEPAGE-23182076	ECB-GENE-23182077	LOC753944	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0046982
ECB-GENEPAGE-23182152	ECB-GENE-23182153	LOC373526	GO:0005524,GO:0016021,GO:0042626
ECB-GENEPAGE-23182559	ECB-GENE-23182560	irx4	GO:0000981,GO:0003677,GO:0005634
ECB-GENEPAGE-23182767	ECB-GENE-23182768	LOC373354	GO:0000786,GO:0003690,GO:0005634,GO:0006334,GO:0016584,GO:0030261,GO:0031492,GO:0031936,GO:0045910
ECB-GENEPAGE-23183040	ECB-GENE-23183041	pkd1l2a	GO:0005262,GO:0005509,GO:0005886,GO:0016020,GO:0016021,GO:0030246,GO:0050982
ECB-GENEPAGE-23183172	ECB-GENE-23183173	ano10	GO:0016021
ECB-GENEPAGE-23183534	ECB-GENE-23183535	spec1	GO:0005509
ECB-GENEPAGE-23183547	ECB-GENE-23183548	spec2c	GO:0005509
ECB-GENEPAGE-23184060	ECB-GENE-23184061	LOC753951	GO:0000786,GO:0003677,GO:0005634,GO:0006342,GO:0046982
ECB-GENEPAGE-23184710	ECB-GENE-23184711	KIF15	GO:0003777,GO:0005524,GO:0005737,GO:0005819,GO:0005871,GO:0005874,GO:0007018,GO:0008017,GO:0016887,GO:1990939
ECB-GENEPAGE-23185331	ECB-GENE-23185332	st3gal2	GO:0005794,GO:0006486,GO:0008373,GO:0016021
ECB-GENEPAGE-23185862	ECB-GENE-23185863	LOC575628	GO:0003755,GO:0006457
ECB-GENEPAGE-23185878	ECB-GENE-23185879	gnal	GO:0001664,GO:0003924,GO:0003925,GO:0005525,GO:0005834,GO:0007188,GO:0007191,GO:0007606,GO:0031683
ECB-GENEPAGE-23186125	ECB-GENE-23186126	SPCA	GO:0000139,GO:0005388,GO:0005524,GO:0005783,GO:0005886,GO:0006828,GO:0006874,GO:0008553,GO:0015410,GO:0016021,GO:0016887,GO:0070588
ECB-GENEPAGE-23188131	ECB-GENE-23188132	katnb1	GO:0000922,GO:0005737,GO:0005813,GO:0005819,GO:0005874,GO:0007019,GO:0007049,GO:0008017,GO:0008352,GO:0051013,GO:0051301
ECB-GENEPAGE-23188278	ECB-GENE-23188279	LOC373458	GO:0005044,GO:0016021
ECB-GENEPAGE-23189039	ECB-GENE-23189040	span	GO:0004222,GO:0007275,GO:0008270
ECB-GENEPAGE-23189548	ECB-GENE-23189549	LOC373208	GO:0005524,GO:0007018,GO:0008017,GO:1990939
ECB-GENEPAGE-23189909	ECB-GENE-23189910	LOC373247	GO:0005882
ECB-GENEPAGE-23190004	ECB-GENE-23190005	hcn3	GO:0000166,GO:0005216,GO:0016021
ECB-GENEPAGE-23190415	ECB-GENE-23190416	foxb1	GO:0003700,GO:0005634,GO:0043565
ECB-GENEPAGE-23191170	ECB-GENE-23191171	P16	GO:0016021
ECB-GENEPAGE-23191435	ECB-GENE-23191436	slc12a2l	GO:0006814,GO:0015377,GO:0016021
ECB-GENEPAGE-23192757	ECB-GENE-23192758	arid3a	GO:0003677,GO:0005634,GO:0006357,GO:0007275
ECB-GENEPAGE-23193355	ECB-GENE-23193356	LOC373350	GO:0000786,GO:0003690,GO:0005634,GO:0006334,GO:0016584,GO:0030261,GO:0031492,GO:0031936,GO:0045910
ECB-GENEPAGE-23193693	ECB-GENE-23193694	LOC582531	GO:0031514
ECB-GENEPAGE-23194288	ECB-GENE-23194289	hmgcr	GO:0004420,GO:0005778,GO:0005789,GO:0006695,GO:0008299,GO:0015936,GO:0016021,GO:0016126,GO:0042282,GO:0050661
ECB-GENEPAGE-23194720	ECB-GENE-23194721	clmdn	GO:0016021
ECB-GENEPAGE-23194787	ECB-GENE-23194788	rej8	GO:0016021
ECB-GENEPAGE-23195136	ECB-GENE-23195137	gnrhr2	GO:0004930,GO:0005887,GO:0007186,GO:0042277
ECB-GENEPAGE-23195146	ECB-GENE-23195147	gnrhr3	GO:0004930,GO:0016021
ECB-GENEPAGE-23195247	ECB-GENE-23195248	gnrhr1	GO:0004930,GO:0016021
ECB-GENEPAGE-23195385	ECB-GENE-23195386	LOC105440158	GO:0043231
ECB-GENEPAGE-23195392	ECB-GENE-23195393	atp5f1a	GO:0005524,GO:0045261,GO:0046933
ECB-GENEPAGE-23196371	ECB-GENE-23196372	ND1	GO:0005747,GO:0008137,GO:0009060,GO:0016021
ECB-GENEPAGE-23196376	ECB-GENE-23196377	ND2	GO:0005743,GO:0006120,GO:0008137,GO:0016021,GO:0070469
ECB-GENEPAGE-23196381	ECB-GENE-23196382	COX1	GO:0004129,GO:0005751,GO:0006123,GO:0009060,GO:0015990,GO:0016021,GO:0020037,GO:0022904,GO:0046872
ECB-GENEPAGE-23196385	ECB-GENE-23196386	ND4L	GO:0008137,GO:0016021,GO:0031966,GO:0042773,GO:0070469
ECB-GENEPAGE-23196390	ECB-GENE-23196391	COX2	GO:0004129,GO:0005507,GO:0005743,GO:0016021,GO:0042773,GO:0070469
ECB-GENEPAGE-23196394	ECB-GENE-23196395	ATP8	GO:0000276,GO:0015078,GO:0015986,GO:0016021
ECB-GENEPAGE-23196401	ECB-GENE-23196402	ATP6	GO:0005743,GO:0015078,GO:0015986,GO:0016021,GO:0045263
ECB-GENEPAGE-23196411	ECB-GENE-23196412	ND3	GO:0008137,GO:0016021,GO:0031966,GO:0070469
ECB-GENEPAGE-23196416	ECB-GENE-23196417	ND4	GO:0008137,GO:0009060,GO:0015990,GO:0016021,GO:0031966,GO:0042773,GO:0048039,GO:0070469
ECB-GENEPAGE-23196421	ECB-GENE-23196422	ND5	GO:0003954,GO:0005747,GO:0008137,GO:0015990,GO:0016021,GO:0042773
ECB-GENEPAGE-23196426	ECB-GENE-23196427	ND6	GO:0008137,GO:0016021,GO:0031966,GO:0070469
ECB-GENEPAGE-23196431	ECB-GENE-23196432	CYTB	GO:0005743,GO:0008121,GO:0016021,GO:0022904,GO:0045275,GO:0046872
ECB-GENEPAGE-23196390	ECB-GENE-24462852	COX2	GO:0004129,GO:0005507,GO:0005743,GO:0016021,GO:0070469
ECB-GENEPAGE-23196408	ECB-GENE-24462855	COX3	GO:0004129,GO:0005739,GO:0016021,GO:0019646
ECB-GENEPAGE-23196431	ECB-GENE-24462860	CYTB	GO:0005743,GO:0008121,GO:0016021,GO:0022904,GO:0045275,GO:0046872
ECB-GENEPAGE-23196371	ECB-GENE-24462865	ND1	GO:0005743,GO:0008137,GO:0016021
ECB-GENEPAGE-23196411	ECB-GENE-24462870	ND3	GO:0005739,GO:0008137,GO:0016021,GO:0070469
ECB-GENEPAGE-23196416	ECB-GENE-24462875	ND4	GO:0008137,GO:0016021,GO:0031966,GO:0042773,GO:0070469
ECB-GENEPAGE-23196421	ECB-GENE-24462880	ND5	GO:0005743,GO:0008137,GO:0016021,GO:0042773
ECB-GENEPAGE-23196426	ECB-GENE-24462884	ND6	GO:0008137,GO:0016021,GO:0031966,GO:0070469
ECB-GENEPAGE-23196401	ECB-GENE-24462889	ATP6	GO:0005743,GO:0015078,GO:0015986,GO:0016021,GO:0045263
ECB-GENEPAGE-23196381	ECB-GENE-24462894	COX1	GO:0004129,GO:0005743,GO:0006119,GO:0009060,GO:0016021,GO:0020037,GO:0045277,GO:0046872
